name_1,name_2,one_city,us_state,user_trns_count,user_amount_mean,user_amount_median,user_amount_std,user_amount_min,user_amount_max,user_first_time,user_last_time,user_active_days,user_trns_per_day
Arthur,Wells,Wilmington,NC,6,6.573640594483066,880.115,295.96069248578715,283.26,933.0,2020-01-30 22:35:00,2020-01-31 23:57:00,1,6.0
Ashlee,Long,Phelps,NY,9,6.404642427762784,431.21,349.57631084325175,287.45,1091.47,2019-02-25 00:28:00,2019-02-26 23:25:00,1,9.0
Ashley,Blanchard,West Palm Beach,FL,633,4.349654187875892,55.07,161.8830431481329,1.05,2763.63,2019-01-01 01:36:00,2020-03-10 12:07:00,434,1.4585253456221199
Ashley,Cabrera,Vero Beach,FL,956,4.4425534175915224,56.175,112.11399498177472,1.07,1832.68,2019-01-01 14:42:00,2020-03-10 07:36:00,433,2.207852193995381
Ashley,Cruz,Saint Amant,LA,1527,4.461064076771782,52.47,121.80680339632303,1.0,1861.0,2019-01-01 10:26:00,2020-03-10 15:12:00,434,3.5184331797235022
Ashley,Lopez,Bellmore,NY,1541,4.535345226500358,54.11,131.50743654238235,1.01,2266.04,2019-01-01 00:26:00,2020-03-10 13:01:00,434,3.5506912442396312
Ashley,Mcdonald,Marietta,SC,303,4.130826061297398,48.3,88.03263874619118,1.1,1066.12,2019-01-01 02:41:00,2020-03-10 11:12:00,434,0.6981566820276498
Ashley,Robinson,Hopewell,VA,309,4.237261318441479,44.56,113.81495607184362,1.03,1173.68,2019-01-01 01:09:00,2020-03-10 02:49:00,434,0.7119815668202765
Ashley,Whitehead,Cowlesville,NY,906,4.0154781308233805,32.19499999999999,98.66034459579787,1.01,1270.97,2019-01-01 12:18:00,2020-03-10 15:32:00,434,2.087557603686636
Ashley,Whitney,Jones,AL,1839,4.049079634412767,34.36,108.01914651232539,1.0,1857.08,2019-01-01 11:58:00,2020-03-10 04:59:00,433,4.247113163972286
Audrey,Gonzalez,Fields Landing,CA,951,4.189979387408361,43.26,106.16990445832366,1.0,1666.27,2019-01-01 10:08:00,2020-03-09 22:34:00,433,2.1963048498845263
Audrey,Hickman,Mount Clemens,MI,620,4.211113702937617,48.965,96.3524537114567,1.01,1030.79,2019-01-01 21:15:00,2020-03-08 09:59:00,431,1.4385150812064966
Audrey,Martinez,Liberty Mills,IN,315,4.29969088994629,42.91,120.55756006636747,1.08,858.32,2019-01-01 23:26:00,2020-03-08 19:56:00,431,0.7308584686774942
Austin,Phillips,Mineral,VA,8,6.1943645739451325,320.04,436.19946397425633,6.58,1113.9,2019-09-09 03:10:00,2019-09-10 22:05:00,1,8.0
Barbara,Lowe,Sherman,TX,1605,4.465814799587135,53.16,124.48237367067958,1.01,1793.41,2019-01-01 01:14:00,2020-03-10 13:54:00,434,3.69815668202765
Barbara,Nelson,Valdosta,GA,936,4.378566729818111,50.644999999999996,90.2434419569599,1.02,838.99,2019-01-01 15:33:00,2020-03-10 14:33:00,433,2.161662817551963
Barbara,Norman,New York City,NY,911,4.469767072581167,53.61,122.15517980338745,1.0,1856.92,2019-01-01 14:28:00,2020-03-10 07:28:00,433,2.1039260969976907
Barbara,Taylor,Elberta,MI,1898,4.1803596727014245,35.665,167.15935852332677,1.04,3413.05,2019-01-01 01:02:00,2020-03-10 14:42:00,434,4.373271889400922
Becky,Mckinney,Mobile,AL,1575,4.54135835947417,53.56,157.3269388975513,1.02,2764.26,2019-01-01 20:41:00,2020-03-10 14:14:00,433,3.6374133949191685
Belinda,Jimenez,Rockwell,IA,306,4.113502464661782,34.155,117.91580597071427,1.21,1092.89,2019-01-01 18:22:00,2020-03-07 21:03:00,431,0.7099767981438515
Benjamin,Beck,Irvington,NY,5,6.466648485353562,911.61,460.0944533788687,9.98,1000.46,2019-10-19 00:30:00,2019-10-20 22:47:00,1,5.0
Benjamin,Harris,Chester,MD,616,4.132553274964173,38.165,134.44908027704182,1.03,1972.38,2019-01-01 00:40:00,2020-03-09 22:07:00,433,1.4226327944572748
Benjamin,Kim,Mc Nabb,IL,1256,4.159309942879125,40.215,114.95568895845697,1.02,2571.31,2019-01-01 02:34:00,2020-03-10 08:58:00,434,2.8940092165898617
Benjamin,Martin,Oriskany Falls,NY,618,4.185982222520414,39.065,106.64691696133566,1.01,1330.68,2019-01-01 20:49:00,2020-03-10 06:04:00,433,1.4272517321016167
Benjamin,Robinson,Portland,OR,649,4.148615801281229,48.21,84.14239097844958,1.0,994.77,2019-01-02 10:43:00,2020-03-10 14:22:00,433,1.4988452655889146
Benjamin,Rogers,Bolivar,PA,636,4.616845785290805,76.99000000000001,97.04778880492809,22.94,680.57,2019-01-02 14:44:00,2020-03-10 11:46:00,432,1.4722222222222223
Beth,Lambert,Roosevelt,OK,1178,4.0644801346174795,35.345,142.6020804205172,1.01,3715.62,2019-01-01 00:39:00,2020-03-10 14:51:00,434,2.7142857142857144
Bethany,Andrade,Corona,CA,609,4.131786664142944,43.38,96.41209344971823,1.05,1123.81,2019-01-01 07:13:00,2020-03-10 14:57:00,434,1.403225806451613
Bianca,Novak,Cuthbert,GA,621,4.227244347749056,41.41,124.8960025215376,1.21,1782.23,2019-01-02 21:49:00,2020-03-09 21:08:00,431,1.4408352668213458
Bianca,Scott,Atglen,PA,608,4.311656008244821,53.745000000000005,181.27644913110763,1.0,3892.29,2019-01-01 03:52:00,2020-03-09 04:21:00,433,1.4041570438799076
Bill,Lane,Holliday,TX,1238,4.240613698696482,38.075,193.86727414608254,1.03,5506.61,2019-01-01 03:37:00,2020-03-10 11:21:00,434,2.8525345622119818
Billy,Gallagher,Greenwich,NJ,1231,4.109143265528072,37.36,97.97386765609238,1.0,1318.51,2019-01-01 14:27:00,2020-03-10 09:01:00,433,2.8429561200923787
Billy,Mcdonald,Camden,MO,600,4.000796717481573,38.61,64.9039808160113,1.08,787.36,2019-01-01 08:19:00,2020-03-10 15:13:00,434,1.3824884792626728
Bobby,Smith,San Diego,CA,349,4.117336099199646,36.93,125.79359684660544,1.09,1181.61,2019-01-07 14:47:00,2020-03-05 13:45:00,422,0.8270142180094787
Bradley,Adkins,Kaktovik,AK,7,6.393177386156132,318.37,474.7073019491163,9.94,1154.81,2019-03-22 00:33:00,2019-03-23 22:20:00,1,7.0
Bradley,Anderson,Emmons,MN,330,4.188906068819446,41.47,100.28822438244458,1.03,1074.72,2019-01-01 23:19:00,2020-03-06 17:46:00,429,0.7692307692307693
Bradley,Martinez,Burns Flat,OK,330,4.772524738326837,77.28999999999999,150.49230538705018,8.86,1164.36,2019-01-01 07:36:00,2020-03-09 17:27:00,433,0.7621247113163973
Brandon,Bridges,Apison,TN,326,4.213104171545459,40.135000000000005,125.45793903389065,1.15,1039.11,2019-01-01 13:43:00,2020-03-07 01:27:00,430,0.7581395348837209
Brandon,Pittman,Cross,SC,306,4.944459412881928,37.225,1516.7982457586616,1.02,26544.12,2019-01-03 13:58:00,2020-03-07 12:14:00,428,0.7149532710280374
Brandy,Johnson,Benton,TN,8,6.478567244236176,785.735,472.5575302769268,11.29,1197.23,2019-12-29 11:03:00,2019-12-30 22:53:00,1,8.0
Brandy,Quinn,Altair,TX,1218,4.162693420502217,34.105000000000004,173.46084124409532,1.03,3599.47,2019-01-01 22:32:00,2020-03-09 21:39:00,432,2.8194444444444446
Breanna,Rodriguez,Lanark Village,FL,1492,4.084797119367563,37.28,129.12349465589818,1.01,3088.31,2019-01-01 05:19:00,2020-03-10 16:06:00,434,3.4377880184331797
Brenda,Johnson,Norwich,OH,608,4.158119016864143,38.93,126.66645484732952,1.04,2498.05,2019-01-01 19:08:00,2020-03-10 07:43:00,433,1.4041570438799076
Brenda,Perez,Coyle,OK,916,3.8353475479632673,26.2,58.43801865251174,1.02,747.25,2019-01-01 01:28:00,2020-03-10 11:33:00,434,2.110599078341014
Brent,Terrell,Port Ewen,NY,898,4.249410190839327,41.19,255.1800481913978,1.05,7288.5,2019-01-01 09:30:00,2020-03-10 10:51:00,434,2.0691244239631335
Brian,Hogan,Lane,OK,322,4.236172961037354,42.980000000000004,131.03831809800275,1.19,1972.84,2019-01-02 01:03:00,2020-03-10 12:30:00,433,0.74364896073903
Brian,Perez,Ashfield,MA,617,4.114092898365407,38.4,91.85673729160247,1.04,1237.57,2019-01-02 13:30:00,2020-03-10 15:56:00,433,1.4249422632794457
Brian,Ray,Walkertown,NC,9,6.018750001339437,295.04,407.02152925585864,7.31,991.85,2019-03-21 02:19:00,2019-03-22 23:51:00,1,9.0
Brian,Simpson,Honokaa,HI,629,4.095564273821257,43.17,99.82438385016195,1.02,1436.29,2019-01-01 00:22:00,2020-03-10 02:52:00,434,1.4493087557603688
Brian,Williams,Titusville,FL,923,4.066442833368591,38.18,198.2517307598756,1.01,5579.69,2019-01-01 13:54:00,2020-03-10 16:03:00,434,2.1267281105990783
Briana,Santos,New Goshen,IN,302,4.3348803586458615,47.54,140.8805362620586,1.04,1517.15,2019-01-01 00:36:00,2020-03-07 21:15:00,431,0.7006960556844548
Brianna,Foley,Knoxville,TN,1573,4.483833035201609,53.17,132.70371966019883,1.04,2289.57,2019-01-01 09:25:00,2020-03-10 15:14:00,434,3.6244239631336406
Brianna,Page,Brantley,AL,641,4.312434909963169,53.88,126.95154714941471,1.01,1350.83,2019-01-01 16:26:00,2020-03-10 09:32:00,433,1.4803695150115475
Brianna,Wilson,Hampton,VA,349,4.530179523297667,50.19,196.1725898570757,1.04,1948.8,2019-01-03 20:06:00,2020-03-10 04:10:00,431,0.8097447795823666
Bridget,Bowen,Port Saint Lucie,FL,314,4.451119978820293,46.675,172.17839996613088,1.0,1647.89,2019-01-01 02:12:00,2020-03-07 17:29:00,431,0.728538283062645
Brittany,Cox,Santa Monica,CA,924,4.251602037427593,48.175,160.80052027421854,1.08,3333.99,2019-01-01 06:47:00,2020-03-10 16:01:00,434,2.129032258064516
Brittany,Guerra,Colton,WA,634,4.070494037142638,32.22,92.45244627042771,1.04,954.59,2019-01-01 10:55:00,2020-03-10 02:17:00,433,1.464203233256351
Brittany,Mccarthy,Albany,NY,11,6.621106611777113,886.45,300.3589986454088,274.22,1017.68,2019-09-28 00:16:00,2019-09-29 23:46:00,1,11.0
Brooke,Fisher,San Angelo,TX,322,4.230003671535248,50.605000000000004,126.76549908325559,1.04,1391.15,2019-01-01 18:14:00,2020-03-06 00:26:00,429,0.7505827505827506
Brooke,Rodriguez,Mountain Center,CA,627,4.114975046185379,35.52,119.43449846259395,1.0,1469.4,2019-01-01 08:42:00,2020-03-10 15:03:00,434,1.444700460829493
Brooke,Smith,Notrees,TX,1249,4.163435231613275,42.94,103.50069969646127,1.03,1813.05,2019-01-01 16:08:00,2020-03-10 09:44:00,433,2.884526558891455
Bryan,Gill,Gaines,MI,8,6.405147876271822,805.395,433.9991460306773,6.23,997.72,2019-02-22 03:04:00,2019-02-23 22:06:00,1,8.0
Bryan,Miller,Cass,WV,958,4.341587308749902,34.06,401.25630880126977,1.0,11371.95,2019-01-01 09:33:00,2020-03-10 12:25:00,434,2.207373271889401
Bryan,Pugh,Margaretville,NY,932,4.541186017606403,76.475,81.46984359167887,23.15,604.39,2019-01-01 09:50:00,2020-03-10 13:24:00,434,2.1474654377880182
Bryan,Torres,Detroit,MI,626,4.20335344643122,46.875,101.588387557079,1.01,1132.86,2019-01-01 08:55:00,2020-03-09 17:48:00,433,1.4457274826789839
Bryce,Joseph,Chester Heights,PA,928,4.285525228399571,43.905,186.64266253705173,1.02,3592.57,2019-01-02 12:45:00,2020-03-10 10:23:00,432,2.1481481481481484
Calvin,Molina,Medford,NY,8,6.1144258191931335,298.3,399.868516995185,7.04,1004.6,2019-08-08 02:14:00,2019-08-09 22:32:00,1,8.0
Candice,Brown,O Brien,TX,1244,4.063359531717633,34.370000000000005,116.23866078024021,1.02,1800.57,2019-01-01 10:17:00,2020-03-10 13:55:00,434,2.866359447004608
Carl,Hernandez,Paulding,OH,922,4.336910988302352,51.545,148.4164152896396,1.01,1841.54,2019-01-01 02:22:00,2020-03-10 12:28:00,434,2.1244239631336406
Carlos,Chung,Grant,AL,1237,4.132414057457239,32.61,201.29184933350732,1.0,5758.98,2019-01-01 00:33:00,2020-03-10 12:55:00,434,2.8502304147465436
Carol,Dillon,Whaleyville,MD,1824,4.0568073069890325,34.195,118.14974770639995,1.0,2963.59,2019-01-01 11:19:00,2020-03-10 09:14:00,433,4.212471131639723
Carolyn,Perez,Wheaton,MO,1229,4.163213983362675,33.25,233.99414543859976,1.0,5495.71,2019-01-01 15:24:00,2020-03-09 22:10:00,433,2.838337182448037
Carolyn,Thomas,New Memphis,IL,318,4.382892219067096,41.88,157.63971244135138,1.01,1286.27,2019-01-01 15:27:00,2020-03-10 03:19:00,433,0.7344110854503464
Carrie,Lewis,Pecos,TX,311,4.578549526198074,47.76,148.21374556861332,1.1,1077.29,2019-01-01 06:19:00,2020-03-10 15:02:00,434,0.716589861751152
Carrie,Washington,Kingsford Heights,IN,1694,4.393949663993825,57.19,250.4622889821163,1.01,9931.82,2019-01-01 02:29:00,2020-03-10 15:10:00,434,3.903225806451613
Casey,Howell,Blackville,SC,951,4.179022309429913,47.16,100.51895459214839,1.01,1637.36,2019-01-01 01:41:00,2020-03-10 02:22:00,434,2.1912442396313363
Cassandra,Nunez,Clay Center,OH,905,4.098184142914963,41.24,74.34292901306868,1.04,792.22,2019-01-01 07:58:00,2020-03-10 12:44:00,434,2.085253456221198
Cassandra,Sanders,Paauilo,HI,908,4.0240890941212655,34.980000000000004,133.17221214233737,1.0,3219.2,2019-01-01 12:41:00,2020-03-10 09:58:00,433,2.096997690531178
Catherine,Weber,West Henrietta,NY,878,4.1934684724446685,47.480000000000004,149.29804080324314,1.03,3759.9,2019-01-01 05:48:00,2020-03-10 12:18:00,434,2.0230414746543777
Cesar,Smith,Jefferson,NY,949,4.166022316991098,39.62,112.64789710204025,1.01,1918.68,2019-01-01 01:44:00,2020-03-10 09:07:00,434,2.186635944700461
Charles,Carrillo,Hawthorne,CA,936,4.309943197892262,37.905,265.69341975978557,1.01,5364.61,2019-01-01 01:09:00,2020-03-10 14:23:00,434,2.1566820276497696
Charles,Copeland,West Palm Beach,FL,317,4.31613999176886,54.61,123.85617457710737,1.0,1029.91,2019-01-04 09:58:00,2020-03-10 10:45:00,431,0.7354988399071926
Charles,Moreno,Key West,FL,1611,4.0893222466738015,35.55,205.55033541410694,1.01,6996.39,2019-01-01 16:39:00,2020-03-10 13:27:00,433,3.720554272517321
Charles,Preston,Seneca,WI,952,4.104659180376848,38.519999999999996,97.62689383179682,1.01,1765.83,2019-01-01 05:55:00,2020-03-09 22:13:00,433,2.1986143187066975
Charles,Robles,Saint Petersburg,FL,1288,4.072102525649607,40.455,108.77625282543943,1.0,1995.11,2019-01-01 00:06:00,2020-03-10 15:30:00,434,2.967741935483871
Charles,Rodriguez,Easton,KS,621,4.6010114699884,76.61,95.3419769357024,22.51,970.76,2019-01-01 02:14:00,2020-03-10 04:35:00,434,1.4308755760368663
Chelsea,Silva,Hubbell,NE,14,6.115907893255285,303.985,376.47721182294424,9.89,1165.94,2019-02-25 00:34:00,2019-02-26 01:55:00,1,14.0
Cheryl,Ballard,Halstad,MN,597,4.007245774681658,34.21,93.32012461176382,1.04,1413.06,2019-01-01 01:21:00,2020-03-10 13:35:00,434,1.3755760368663594
Cheryl,Melton,Fullerton,NE,940,4.148002629251483,36.19,132.2173584728721,1.04,2004.35,2019-01-01 03:49:00,2020-03-10 10:35:00,434,2.165898617511521
Cheryl,Morgan,Norman,AR,569,4.331605912957361,55.49,96.85481707243397,1.01,1096.85,2019-01-01 14:39:00,2020-03-09 12:20:00,432,1.3171296296296295
Chris,Daniel,Rock Glen,PA,321,4.740881677105527,76.32,143.8306750577164,9.46,1111.31,2019-01-04 08:08:00,2020-03-09 05:48:00,429,0.7482517482517482
